Date,RET 1,target,RET_2,RET_3,RET_4,RET_5,RET_6,RET_7,RET_8,RET_9,VOL 1,sma_10,sma_21,sma_50,sma_200,RSI 13,RSI 21,RSI_Spread,dev_ret1_13,ret_dev_ratio
2010-10-21,0.0022057295,0.0018624067,0.011993408,-0.001268208,0.003653407,0.0057040453,0.0017808676,0.009571791,0.012687445,0.013643384,0.107640624,1.1145261924331717,1.1053979633727011,1.0855211244681744,1.069549266311982,64.92553648507867,62.796340239210416,0.03390637476256566,0.007403477413030475,0.29793154777185055
2010-10-22,0.0018624067,0.002957344,0.0040721893,0.013878107,0.0005917549,0.0055224895,0.0075770617,0.003646493,0.01145196,0.014573455,-0.51164496,1.1149750515749068,1.1061024225965286,1.0860223306221095,1.069606828583758,65.81373379247769,63.32998546778934,0.039219151975830216,0.005494049326746123,0.33898616846872665
2010-10-25,0.002957344,0.00016856194,0.0048252344,0.0070415735,0.01687646,0.003550887,0.008496165,0.010556817,0.006614685,0.014443159,0.3967502,1.1154834275014234,1.1065696534626026,1.0865580848381053,1.0696639757594926,67.2433550442111,64.18806031288295,0.047599112925911694,0.00548492143376993,0.5391771041546389
2010-10-26,0.00016856194,-0.0028639436,0.0031263828,0.0049945116,0.0072113276,0.017047882,0.003720045,0.008666158,0.010727048,0.00678432,0.051851988,1.1159074881404998,1.1071055248452462,1.0870974485472504,1.0697191857499861,67.32795387778742,64.23828050734268,0.04809707461101144,0.005439633965010269,0.030987734930154713
2010-10-27,-0.0028639436,0.00016903877,-0.0026958585,0.00025343895,0.0021163225,0.004326701,0.014135122,0.0008454323,0.005777359,0.007832408,0.19524813,1.1160215627663328,1.1075522844618528,1.087550699781682,1.0697844967627244,64.27157470198503,62.66986958112921,0.02555781800028055,0.005460458892857654,0.5244877093679465
2010-10-28,0.00016903877,0.00076007843,-0.0026954412,-0.0025273561,0.00042247772,0.0022855997,0.004496455,0.014306545,0.0010145903,0.0059473515,-0.11286998,1.1162546728537333,1.1080255367159986,1.0879946694060996,1.0698368009753572,64.37465407979958,62.72609063368066,0.026281941524883227,0.005467379664541311,0.03091769420721021
2010-10-29,0.00076007843,0.0003376007,0.0009292364,-0.0019373894,-0.0017691851,0.0011829138,0.0030474663,0.0052599907,0.015077472,0.001775384,-0.14397359,1.1164505842411436,1.1085505697838605,1.0885417678558238,1.0698860610095924,64.86864279033344,62.98939437626618,0.029834362318862665,0.005439440200302146,0.13973467897184733
2010-11-01,0.0003376007,0.007930517,0.0010979176,0.0012670755,-0.0016004443,-0.0014321804,0.0015208721,0.0033861399,0.0055993795,0.015420198,0.20629358,1.1165125814437922,1.1090226175766447,1.0891089763950106,1.0699537244091817,65.10165035639979,63.111008290001244,0.03154191511647775,0.005073494440783277,0.06654204748782412
2010-11-02,0.007930517,0.0040177107,0.0082707405,0.009037137,0.0092077255,0.006317377,0.006487012,0.009463429,0.011343479,0.013574243,-0.090357125,1.1171920702550606,1.109711422477715,1.089745796812598,1.070014746060966,70.14295631151322,65.87759953394298,0.06474669398620903,0.005275729110951652,1.5032078087922793
2010-11-03,0.0040177107,0.019258022,0.011980057,0.012321711,0.013091207,0.013262391,0.010360479,0.01053071,0.013519168,0.015406728,0.43169343,1.1177078855431741,1.110182265809138,1.090489355548642,1.070098598839595,72.35232068107096,67.19665785018336,0.07672498894784749,0.005322577464717203,0.7548430647300025
2010-11-04,0.019258022,0.0037624836,0.0233531,0.03146887,0.03181708,0.032601357,0.03277588,0.029818058,0.029991627,0.033037663,-0.051447988,1.1187320805418133,1.1109324853773452,1.091330886747408,1.0702447186637023,80.04924949078897,72.5572930248154,0.10325573286494083,0.007108472104081521,2.7091647862403647
2010-11-05,0.0037624836,-0.0018742085,0.023092985,0.02720344,0.035349727,0.03569925,0.036486506,0.036661625,0.033692718,0.033866882,-0.15990233,1.1198157923252336,1.1117549570087362,1.0922327482145613,1.070431657883967,81.17955241714878,73.46399994110705,0.10502494394842325,0.005481456630073268,0.6864021464950397
2010-11-08,-0.0018742085,-0.007184267,0.0018812418,0.021175504,0.02527833,0.033409238,0.033758163,0.034543872,0.034718752,0.03175533,-0.13587838,1.1207556701444281,1.1124714580899717,1.0930386998427069,1.070607665784335,78.7624549020427,72.21140038395525,0.09072050234803426,0.005395515406778308,0.34736411797895006
2010-11-09,-0.007184267,0.004029274,-0.009045005,-0.0053165555,0.013839126,0.017912388,0.025985003,0.026331306,0.02711153,0.027285099,0.19547153,1.1214723576556866,1.1130687432210173,1.0938791999263184,1.0707778621289812,70.11004627955055,67.58219532430041,0.0374040964949417,0.006040317731143212,1.189385619075317
2010-11-10,0.004029274,-0.0037673712,-0.0031839013,-0.0050521493,-0.0013087392,0.01792419,0.022013903,0.030118942,0.030466676,0.03125,0.18629026,1.1223948763338196,1.1136816826748202,1.0947449664619764,1.070947643272017,71.96764674451742,68.75332927655077,0.04675144464695671,0.006057087333229705,0.6652164258407602
2010-11-11,-0.0037673712,-0.011838257,0.00024664402,-0.0069393516,-0.008800507,-0.005071163,0.014089227,0.018163562,0.026238084,0.026584506,-0.2862394,1.1231983595503854,1.1141296467527881,1.0954245854364837,1.0711284941354866,67.6893370745608,66.38919335342575,0.01958366498314977,0.006272483932481864,0.6006187051614632
2010-11-12,-0.011838257,-0.001414299,-0.015561044,-0.011594474,-0.018695414,-0.020534575,-0.016849399,0.0020842552,0.0061103106,0.014089227,0.51292515,1.1236224201894616,1.1144595984231926,1.0959778713639468,1.0713057473239798,56.332393112602496,59.64753458292154,-0.05557885155689641,0.007265330632220009,1.6294175601967527
2010-11-15,-0.001414299,-0.015579402,-0.013235807,-0.01695329,-0.012992382,-0.020083249,-0.021919847,-0.018239856,0.000666976,0.0046873093,-0.31425261,1.1239944034053537,1.1147401782026032,1.096449170064126,1.071457540303272,55.14901881159916,58.90605427352046,-0.06378012427171117,0.007216440814808495,0.19598290175515012
2010-11-16,-0.015579402,0.00050771236,-0.016971648,-0.028608978,-0.032268584,-0.028369367,-0.035349786,-0.037157714,-0.033535063,-0.014922857,0.8272828,1.1236695386689162,1.1147257283412073,1.0968884990802392,1.0715651930125039,44.107380161035096,51.510236578537736,-0.14371621854649208,0.008480673213900341,1.8370478444106577
2010-11-17,0.00050771236,0.014718294,-0.015079558,-0.016472518,-0.02811575,-0.031777203,-0.02787602,-0.034859955,-0.036668837,-0.03304434,-0.42480528,1.1232405190861097,1.1149051544971729,1.097291217017172,1.0716812862542449,44.49365249417643,51.714469465676,-0.13962856133121848,0.008478924729917528,0.059879333803416805
2010-11-18,0.014718294,0.0027508736,0.015233517,-0.00058317184,-0.0019966364,-0.013811231,-0.017526627,-0.013567984,-0.020654738,-0.022490263,0.14749563,1.1226701440649403,1.1151568327163222,1.097757359354767,1.071868363769478,54.39564693630607,57.203417701942364,-0.049083968728339686,0.00936120765183614,1.5722644653427658
2010-11-19,0.0027508736,-0.000831306,0.017509699,0.018026352,0.002166152,0.00074875355,-0.011098325,-0.014823914,-0.010854363,-0.017960608,-0.20670664,1.1220675311795147,1.1154169412462656,1.098211641704353,1.0720569633739094,56.00808354791761,58.15078070790537,-0.036847263852752894,0.009164491599296455,0.30016652160879376
2010-11-22,-0.000831306,-0.014477134,0.0019173622,0.016663909,0.017180085,0.0013329983,-8.314848e-05,-0.0119203925,-0.015642881,-0.011676669,0.15624893,1.1214971580503497,1.1156385152812618,1.0985968279298182,1.072254833914071,55.3654632792212,57.74407423968518,-0.041192295344294506,0.009115049091338824,0.09120148145688926
2010-11-23,-0.014477134,0.014774203,-0.0152964,-0.012587547,0.0019454956,0.0024542809,-0.013163388,-0.01455909,-0.02622497,-0.029893517,0.22578168,1.1207135125007082,1.1156084101783739,1.0988959012871644,1.0724102244627707,45.52020211576916,51.20141851797973,-0.11095818371156212,0.00805956832451897,1.7962666445636943
